GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
0022300001,1610612739,CLE,Cleveland,1629622,Max Strus,Max,F,,28.000000:17,0.167,0.143,0.167,0.25,0.333,0.077,0.125,0.0,0.059,0.048,0.0,0.2,0.25,0.25,0.0,0.286,0.167,0.137
0022300001,1610612739,CLE,Cleveland,1630596,Evan Mobley,Evan,F,,35.000000:51,0.188,0.189,0.206,0.0,0.1,0.0,0.0,0.5,0.308,0.333,0.2,0.222,0.5,0.571,0.5,0.154,0.154,0.146
0022300001,1610612739,CLE,Cleveland,1628386,Jarrett Allen,Jarrett,C,,21.000000:07,0.165,0.211,0.158,0.0,0.0,0.222,0.3,0.4,0.455,0.438,0.0,0.167,0.167,1.0,0.0,0.333,0.375,0.204
0022300001,1610612739,CLE,Cleveland,1628378,Donovan Mitchell,Donovan,G,,36.000000:39,0.346,0.361,0.323,0.571,0.304,0.615,0.625,0.25,0.16,0.172,0.391,0.333,0.2,0.0,0.5,0.071,0.385,0.413
0022300001,1610612739,CLE,Cleveland,1629636,Darius Garland,Darius,G,,31.000000:59,0.223,0.208,0.19,0.0,0.125,0.222,0.174,0.0,0.0,0.0,0.5,0.5,0.222,0.25,0.0,0.067,0.2,0.206
0022300001,1610612739,CLE,Cleveland,1627777,Georges Niang,Georges,,,27.000000:08,0.171,0.143,0.205,0.333,0.4,0.167,0.133,0.0,0.263,0.25,0.053,0.0,0.0,0.0,0.0,0.2,0.1,0.162
0022300001,1610612739,CLE,Cleveland,1630171,Isaac Okoro,Isaac,,,23.000000:01,0.083,0.111,0.081,0.2,0.063,0.0,0.0,0.0,0.077,0.071,0.182,0.143,0.4,0.0,0.333,0.308,0.0,0.104
0022300001,1610612739,CLE,Cleveland,1627747,Caris LeVert,Caris,,,30.000000:24,0.217,0.172,0.235,0.0,0.2,0.25,0.25,0.0,0.25,0.238,0.2,0.091,0.0,0.143,0.5,0.154,0.2,0.169
0022300001,1610612739,CLE,Cleveland,1629731,Dean Wade,Dean,,,2.000000:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0022300001,1610612739,CLE,Cleveland,202684,Tristan Thompson,Tristan,,,2.000000:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
