CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
201572,Brook Lopez,1610612749,MIL,C,37.0,80,80,1.0,711,1523,0.467,0.488,-0.021
1627826,Ivica Zubac,1610612746,LAC,C,28.0,80,80,1.0,669,1461,0.458,0.49,-0.032
203999,Nikola Jokić,1610612743,DEN,C,30.0,70,70,1.0,703,1436,0.49,0.494,-0.005
1630578,Alperen Sengun,1610612745,HOU,C,22.0,76,76,1.0,636,1350,0.471,0.484,-0.013
202696,Nikola Vučević,1610612741,CHI,C,34.0,73,73,1.0,620,1306,0.475,0.493,-0.018
203497,Rudy Gobert,1610612750,MIN,C,32.0,72,72,1.0,587,1281,0.458,0.49,-0.032
1630596,Evan Mobley,1610612739,CLE,C,23.0,71,71,1.0,542,1218,0.445,0.476,-0.031
1628386,Jarrett Allen,1610612739,CLE,C,27.0,81,81,1.0,567,1209,0.469,0.488,-0.019
1626157,Karl-Anthony Towns,1610612752,NYK,C-F,29.0,71,71,1.0,609,1196,0.509,0.484,0.025
1627734,Domantas Sabonis,1610612758,SAC,F-C,29.0,70,70,1.0,595,1192,0.499,0.494,0.005
1642259,Alex Sarr,1610612764,WAS,C,20.0,67,67,1.0,602,1186,0.508,0.498,0.01
1628404,Josh Hart,1610612752,NYK,G,30.0,76,76,1.0,569,1175,0.484,0.464,0.02
1627783,Pascal Siakam,1610612754,IND,F,31.0,78,78,1.0,531,1147,0.463,0.469,-0.006
1631117,Walker Kessler,1610612762,UTA,C,23.0,58,58,1.0,501,1144,0.438,0.488,-0.05
1630700,Dyson Daniels,1610612737,ATL,G,22.0,76,76,1.0,555,1143,0.486,0.469,0.017
1630559,Austin Reaves,1610612747,LAL,G,27.0,72,72,1.0,553,1122,0.493,0.459,0.034
1630183,Jaden McDaniels,1610612750,MIN,F,24.0,82,82,1.0,512,1113,0.46,0.463,-0.003
1627750,Jamal Murray,1610612743,DEN,G,28.0,67,67,1.0,526,1103,0.477,0.462,0.015
1642274,Yves Missi,1610612740,NOP,C,21.0,73,73,1.0,571,1090,0.524,0.492,0.032
1626167,Myles Turner,1610612754,IND,C-F,29.0,72,72,1.0,522,1075,0.486,0.492,-0.007
1628415,Dillon Brooks,1610612745,HOU,G-F,29.0,75,75,1.0,500,1068,0.468,0.469,-0.001
1631105,Jalen Duren,1610612765,DET,C,21.0,78,78,1.0,528,1058,0.499,0.49,0.009
1628401,Derrick White,1610612738,BOS,G,30.0,76,76,1.0,463,1053,0.44,0.46,-0.02
1631099,Keegan Murray,1610612758,SAC,F,24.0,76,76,1.0,471,1047,0.45,0.466,-0.017
1628969,Mikal Bridges,1610612752,NYK,G-F,28.0,80,80,1.0,483,1040,0.464,0.456,0.009
1630595,Cade Cunningham,1610612765,DET,G,23.0,70,70,1.0,458,1039,0.441,0.464,-0.023
201935,James Harden,1610612746,LAC,G,35.0,79,79,1.0,490,1034,0.474,0.468,0.006
1628389,Bam Adebayo,1610612748,MIA,C-F,27.0,78,78,1.0,486,1025,0.474,0.49,-0.016
1641739,Toumani Camara,1610612757,POR,F,25.0,78,78,1.0,497,1013,0.491,0.471,0.02
1628384,OG Anunoby,1610612752,NYK,F-G,27.0,73,73,1.0,450,1005,0.448,0.465,-0.017
1630168,Onyeka Okongwu,1610612737,ATL,F-C,24.0,74,74,1.0,503,998,0.504,0.491,0.013
1631128,Christian Braun,1610612743,DEN,G,24.0,79,79,1.0,476,989,0.481,0.461,0.02
1630581,Josh Giddey,1610612741,CHI,G,22.0,70,70,1.0,471,987,0.477,0.467,0.01
203110,Draymond Green,1610612744,GSW,F,35.0,68,68,1.0,425,982,0.433,0.48,-0.047
203897,Zach LaVine,1610612758,SAC,G,30.0,74,74,1.0,438,966,0.453,0.461,-0.008
1628991,Jaren Jackson Jr.,1610612763,MEM,F-C,25.0,73,73,1.0,398,951,0.419,0.48,-0.062
1628983,Shai Gilgeous-Alexander,1610612760,OKC,G,26.0,76,76,1.0,419,949,0.442,0.467,-0.025
1629675,Naz Reid,1610612750,MIN,C-F,25.0,80,80,1.0,430,948,0.454,0.476,-0.022
1642273,Kyshawn George,1610612764,WAS,F,21.0,67,67,1.0,392,927,0.423,0.465,-0.042
1630224,Jalen Green,1610612745,HOU,G,23.0,82,82,1.0,435,925,0.47,0.46,0.011
1629639,Tyler Herro,1610612748,MIA,G,25.0,77,77,1.0,449,925,0.485,0.455,0.031
1628368,De'Aaron Fox,1610612759,SAS,G,27.0,62,62,1.0,439,923,0.476,0.459,0.016
1626164,Devin Booker,1610612756,PHX,G,28.0,75,75,1.0,454,920,0.493,0.462,0.031
1630166,Deni Avdija,1610612757,POR,F,24.0,72,72,1.0,443,913,0.485,0.473,0.012
1627751,Jakob Poeltl,1610612761,TOR,C,29.0,57,57,1.0,439,910,0.482,0.495,-0.012
1642270,Donovan Clingan,1610612757,POR,C,21.0,67,67,1.0,390,910,0.429,0.486,-0.057
1630162,Anthony Edwards,1610612750,MIN,G,23.0,79,79,1.0,418,907,0.461,0.468,-0.007
1629027,Trae Young,1610612737,ATL,G,26.0,76,76,1.0,436,903,0.483,0.449,0.033
1642264,Stephon Castle,1610612759,SAS,G,20.0,81,81,1.0,432,902,0.479,0.463,0.016
203944,Julius Randle,1610612750,MIN,F-C,30.0,69,69,1.0,411,894,0.46,0.478,-0.018
1631165,Keon Ellis,1610612758,SAC,G,25.0,79,79,1.0,426,887,0.48,0.46,0.021
202685,Jonas Valančiūnas,1610612758,SAC,C,33.0,81,81,1.0,465,882,0.527,0.502,0.025
1630577,Julian Champagnie,1610612759,SAS,F,23.0,82,82,1.0,420,876,0.479,0.459,0.02
1630567,Scottie Barnes,1610612761,TOR,F-G,23.0,65,65,1.0,399,874,0.457,0.473,-0.017
1641744,Zach Edey,1610612763,MEM,C,23.0,65,65,1.0,411,873,0.471,0.49,-0.019
202699,Tobias Harris,1610612765,DET,F,32.0,73,73,1.0,414,871,0.475,0.469,0.007
1629632,Coby White,1610612741,CHI,G,25.0,74,74,1.0,430,868,0.495,0.456,0.04
1630169,Tyrese Haliburton,1610612754,IND,G,25.0,73,73,1.0,409,867,0.472,0.449,0.023
1631108,Max Christie,1610612742,DAL,G,22.0,76,76,1.0,408,862,0.473,0.463,0.011
1629312,Haywood Highsmith,1610612748,MIA,F,28.0,74,74,1.0,406,857,0.474,0.457,0.017
1629008,Michael Porter Jr.,1610612743,DEN,F,26.0,77,77,1.0,411,853,0.482,0.468,0.014
1628392,Isaiah Hartenstein,1610612760,OKC,C-F,27.0,57,57,1.0,395,852,0.464,0.488,-0.025
203084,Harrison Barnes,1610612759,SAS,F,33.0,82,82,1.0,429,851,0.504,0.475,0.029
201942,DeMar DeRozan,1610612758,SAC,G-F,35.0,77,77,1.0,425,850,0.5,0.471,0.029
