GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,MIN,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,FTA_RATE,TM_AST_PCT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT_MR,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_FG3_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT
-1626157-1628384-1628404-1628969-1628973-,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,1610612752,NYK,939.9,117.7,114.4,3.3,98.76,0.601,0.239,0.661,0.648,0.352,0.06,0.138,0.143,0.508,0.661,0.339,0.372,0.561,0.188,0.133
-201144-203497-203944-1630162-1630183-,M. Conley - R. Gobert - J. Randle - A. Edwards - J. McDaniels,1610612750,MIN,713.7,113.4,110.2,3.2,97.48,0.599,0.217,0.63,0.581,0.419,0.071,0.107,0.13,0.42,0.63,0.37,0.379,0.551,0.165,0.141
-202699-203501-1630595-1631105-1641709-,T. Harris - T. Hardaway Jr. - C. Cunningham - J. Duren - A. Thompson,1610612765,DET,491.3,115.5,109.4,6.1,103.18,0.58,0.209,0.593,0.721,0.279,0.072,0.191,0.122,0.574,0.593,0.407,0.363,0.55,0.236,0.149
-1627832-1628415-1630224-1630578-1631095-,F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,1610612745,HOU,450.4,109.3,104.1,5.2,100.34,0.53,0.247,0.568,0.606,0.394,0.073,0.159,0.165,0.44,0.568,0.432,0.382,0.524,0.209,0.141
-1626167-1627783-1629614-1630169-1631097-,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - B. Mathurin,1610612754,IND,434.7,114.1,102.2,11.9,101.58,0.604,0.251,0.697,0.605,0.395,0.115,0.145,0.15,0.415,0.697,0.303,0.351,0.519,0.19,0.14
-201942-1627734-1628368-1628370-1631099-,D. DeRozan - D. Sabonis - D. Fox - M. Monk - K. Murray,1610612758,SAC,430.8,114.9,114.7,0.2,103.63,0.579,0.235,0.643,0.667,0.333,0.127,0.13,0.152,0.464,0.643,0.357,0.419,0.575,0.262,0.153
-203932-203999-1627750-1629008-1631128-,A. Gordon - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,1610612743,DEN,425.9,125.0,114.4,10.6,102.57,0.643,0.245,0.693,0.633,0.367,0.054,0.178,0.137,0.487,0.693,0.307,0.366,0.554,0.199,0.115
-1626167-1627783-1629614-1630169-1630174-,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - A. Nesmith,1610612754,IND,382.7,118.8,107.7,11.1,100.65,0.618,0.199,0.714,0.556,0.444,0.067,0.178,0.113,0.407,0.714,0.286,0.354,0.531,0.207,0.153
-201566-203999-1627750-1629008-1631128-,R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,1610612743,DEN,367.8,125.1,122.2,2.9,102.12,0.627,0.219,0.712,0.674,0.326,0.08,0.17,0.129,0.499,0.712,0.288,0.412,0.591,0.161,0.115
-201950-204001-1627759-1628369-1628401-,J. Holiday - K. Porziņģis - J. Brown - J. Tatum - D. White,1610612738,BOS,356.8,114.1,114.1,0.0,103.05,0.586,0.226,0.685,0.5,0.5,0.066,0.109,0.14,0.371,0.685,0.315,0.417,0.543,0.218,0.121
-201935-1626181-1627739-1627826-1627884-,J. Harden - N. Powell - K. Dunn - I. Zubac - D. Jones Jr.,1610612746,LAC,326.0,114.7,103.9,10.8,101.22,0.583,0.246,0.593,0.621,0.379,0.048,0.178,0.142,0.501,0.593,0.407,0.38,0.535,0.199,0.186
-1627832-1628415-1630224-1630578-1641708-,F. VanVleet - D. Brooks - J. Green - A. Sengun - A. Thompson,1610612745,HOU,323.1,107.3,114.9,-7.6,99.46,0.535,0.238,0.573,0.635,0.365,0.072,0.132,0.149,0.453,0.573,0.427,0.414,0.58,0.208,0.169
-1628392-1628983-1629652-1631114-1641717-,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - J. Williams - C. Wallace,1610612760,OKC,316.1,117.0,101.0,15.9,102.81,0.586,0.196,0.589,0.679,0.321,0.097,0.12,0.128,0.481,0.589,0.411,0.305,0.499,0.227,0.167
-201572-203081-203507-1627752-1641748-,B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - A. Jackson Jr.,1610612749,MIL,310.6,110.2,112.7,-2.5,101.61,0.586,0.219,0.62,0.585,0.415,0.08,0.16,0.111,0.421,0.62,0.38,0.388,0.56,0.194,0.131
-201935-202695-1626181-1627739-1627826-,J. Harden - K. Leonard - N. Powell - K. Dunn - I. Zubac,1610612746,LAC,285.9,117.3,107.9,9.5,98.54,0.61,0.227,0.655,0.649,0.351,0.061,0.136,0.132,0.521,0.655,0.345,0.395,0.559,0.176,0.162
-203991-1629027-1630552-1630700-1642258-,C. Capela - T. Young - J. Johnson - D. Daniels - Z. Risacher,1610612737,ATL,281.6,111.5,111.7,-0.2,106.35,0.572,0.191,0.712,0.683,0.317,0.043,0.149,0.105,0.563,0.712,0.288,0.403,0.566,0.176,0.147
