gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0022401210,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (8:11 PM EST),period,start,0,0,1
0022401210,4,PT12M00.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,0,0,0,,0,,,0,h,Jump Ball Gobert vs. Davis: Tip to Randle,Jump Ball,,1,0,2
0022401210,7,PT11M39.00S,1,1610612750,MIN,203944,Randle,J. Randle,60,161,17,Made,1,2,0,2,h,Randle 17' Step Back Jump Shot (2 PTS),Made Shot,Step Back Jump shot,1,2,3
0022401210,8,PT11M19.00S,1,1610612747,LAL,1630559,Reaves,A. Reaves,29,65,7,Missed,1,,,0,v,MISS Reaves 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,4
0022401210,9,PT11M17.00S,1,1610612750,MIN,1630183,McDaniels,J. McDaniels,0,0,0,,0,,,0,h,McDaniels REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,5
0022401210,10,PT11M13.00S,1,1610612750,MIN,203944,Randle,J. Randle,194,156,25,Missed,1,,,0,h,MISS Randle 25' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,1,3,6
0022401210,11,PT11M10.00S,1,0,,1610612747,,,0,0,0,,0,,,0,v,Lakers Rebound,Rebound,Unknown,0,0,7
0022401210,13,PT10M57.00S,1,1610612747,LAL,1629060,Hachimura,R. Hachimura,225,1,0,Missed,1,,,0,v,MISS Hachimura 3PT Jump Shot,Missed Shot,Jump Shot,1,3,8
0022401210,14,PT10M55.00S,1,1610612750,MIN,203944,Randle,J. Randle,0,0,0,,0,,,0,h,Randle REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,9
0022401210,15,PT10M47.00S,1,1610612750,MIN,1630162,Edwards,A. Edwards,76,235,25,Missed,1,,,0,h,MISS Edwards 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,10
0022401210,16,PT10M43.00S,1,1610612747,LAL,1630559,Reaves,A. Reaves,0,0,0,,0,,,0,v,Reaves REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,11
0022401210,17,PT10M32.00S,1,1610612747,LAL,1630559,Reaves,A. Reaves,-24,19,3,Missed,1,,,0,v,MISS Reaves 3' Reverse Layup,Missed Shot,Reverse Layup Shot,1,2,12
0022401210,17,PT10M32.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,0,0,0,,0,,,0,h,Gobert BLOCK (1 BLK),,,1,2,13
0022401210,19,PT10M30.00S,1,1610612750,MIN,201144,Conley,M. Conley,0,0,0,,0,,,0,h,Conley REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,14
0022401210,20,PT10M27.00S,1,1610612750,MIN,1630162,Edwards,A. Edwards,-6,17,2,Made,1,4,0,4,h,Edwards 2' Running Layup (2 PTS) (Conley 1 AST),Made Shot,Running Layup Shot,1,2,15
0022401210,22,PT10M27.00S,1,1610612747,LAL,1631108,Christie,M. Christie,0,0,0,,0,,,0,v,Christie S.FOUL (P1.T1) (P.Ransom),Foul,Shooting,1,0,16
0022401210,24,PT10M27.00S,1,1610612750,MIN,1630162,Edwards,A. Edwards,0,0,0,,0,,,0,h,MISS Edwards Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,1,0,17
0022401210,25,PT10M25.00S,1,1610612747,LAL,1629060,Hachimura,R. Hachimura,0,0,0,,0,,,0,v,Hachimura REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,18
0022401210,26,PT10M15.00S,1,1610612747,LAL,1629216,Vincent,G. Vincent,0,0,0,,0,,,0,v,Vincent Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0,19
0022401210,26,PT10M15.00S,1,1610612750,MIN,1630183,McDaniels,J. McDaniels,0,0,0,,0,,,0,h,McDaniels STEAL (1 STL),,,1,0,20
0022401210,28,PT10M12.00S,1,1610612750,MIN,1630183,McDaniels,J. McDaniels,-9,16,2,Made,1,6,0,6,h,McDaniels 2' Running Finger Roll Layup (2 PTS) (Conley 2 AST),Made Shot,Running Finger Roll Layup Shot,1,2,21
0022401210,30,PT10M00.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,0,0,0,,0,,,0,h,Gobert P.FOUL (P1.T1) (M.Davis),Foul,Personal,1,0,22
0022401210,32,PT09M51.00S,1,1610612747,LAL,1631108,Christie,M. Christie,196,155,25,Made,1,6,3,9,v,Christie 25' 3PT Jump Shot (3 PTS) (Reaves 1 AST),Made Shot,Jump Shot,1,3,23
0022401210,34,PT09M35.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,36,126,13,Missed,1,,,0,h,MISS Gobert 13' Jump Shot,Missed Shot,Jump Shot,1,2,24
0022401210,35,PT09M33.00S,1,1610612747,LAL,203076,Davis,A. Davis,0,0,0,,0,,,0,v,Davis REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,25
0022401210,36,PT09M29.00S,1,1610612747,LAL,203076,Davis,A. Davis,0,0,0,,0,,,0,v,Davis Out of Bounds - Bad Pass Turnover Turnover (P1.T2),Turnover,Out of Bounds - Bad Pass Turnover,1,0,26
0022401210,37,PT09M16.00S,1,1610612750,MIN,201144,Conley,M. Conley,-12,90,9,Missed,1,,,0,h,MISS Conley 9' Floating Jump Shot,Missed Shot,Floating Jump shot,1,2,27
0022401210,38,PT09M14.00S,1,1610612747,LAL,1629060,Hachimura,R. Hachimura,0,0,0,,0,,,0,v,Hachimura REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,28
0022401210,39,PT09M04.00S,1,1610612747,LAL,1631108,Christie,M. Christie,11,20,2,Made,1,6,5,11,v,Christie 2' Driving Layup (5 PTS) (Hachimura 1 AST),Made Shot,Driving Layup Shot,1,2,29
0022401210,41,PT08M53.00S,1,1610612750,MIN,1630162,Edwards,A. Edwards,-113,221,25,Missed,1,,,0,h,MISS Edwards 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,30
0022401210,42,PT08M50.00S,1,1610612747,LAL,1629216,Vincent,G. Vincent,0,0,0,,0,,,0,v,Vincent REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,31
0022401210,43,PT08M39.00S,1,1610612747,LAL,1629216,Vincent,G. Vincent,-62,90,11,Missed,1,,,0,v,MISS Vincent 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,32
0022401210,45,PT08M36.00S,1,1610612747,LAL,1631108,Christie,M. Christie,0,0,0,,0,,,0,v,Christie REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,33
