SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022401193,2025-04-13T00:00:00,DEN @ HOU,W,30.77,7,10,0.7,3,5,0.6,1,2,0.5,1,6,7,7,1,2,1,0,3,3,18,34,44.9,0,0,41.0,1,1,1,1,60,61,66,11,9,27,19,63,60,60,55,59,62,57,58,19,11,1,40,55,64,2,64,60,35,64,1,30:46
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022401180,2025-04-11T00:00:00,DEN vs. MEM,W,40.916666666666664,11,19,0.579,1,2,0.5,3,7,0.429,3,13,16,13,5,2,0,0,3,8,26,11,65.7,1,1,60.0,1,1,1,1,7,32,32,35,42,53,24,45,25,66,22,10,15,13,9,19,34,1,40,10,46,27,30,1,1,32,1,40:55
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022401165,2025-04-09T00:00:00,DEN @ SAC,W,37.7,5,12,0.417,0,1,0.0,10,10,1.0,3,9,12,11,1,4,0,2,2,7,20,9,61.9,1,1,51.0,1,1,1,1,34,68,63,67,59,63,59,7,9,1,22,39,40,22,58,2,34,57,22,17,58,30,40,1,1,54,1,37:42
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022401142,2025-04-06T00:00:00,DEN vs. IND,L,39.0,18,33,0.545,3,11,0.273,2,3,0.667,3,12,15,13,4,2,1,3,0,4,41,1,83.5,1,1,78.0,1,47,47,47,19,3,4,43,9,4,52,54,54,52,22,16,18,13,20,19,11,67,1,49,5,48,7,1,1,8,1,39:00
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022401125,2025-04-04T00:00:00,DEN @ GSW,L,37.20666666666666,13,17,0.765,4,7,0.571,3,3,1.0,2,10,12,9,6,2,0,0,2,5,33,-4,60.9,1,0,62.0,1,47,47,47,39,18,42,5,5,11,22,45,54,1,39,31,40,41,5,19,34,1,22,36,23,58,46,1,35,26,1,37:12
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022401102,2025-04-01T00:00:00,DEN vs. MIN,L,52.63333333333333,18,29,0.621,6,11,0.545,19,24,0.792,2,8,10,10,4,2,0,1,5,16,61,2,90.0,1,1,91.0,1,47,47,47,1,3,7,27,2,4,23,1,1,37,39,46,48,27,20,19,34,29,66,1,1,46,3,1,1,1,1,52:38
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022401073,2025-03-28T00:00:00,DEN vs. UTA,W,31.55,8,18,0.444,1,5,0.2,10,12,0.833,5,9,14,6,3,4,0,0,0,7,27,28,61.8,1,0,56.0,1,1,1,1,58,56,38,63,42,27,54,7,7,28,7,39,22,61,31,2,34,1,1,17,39,7,41,1,35,42,1,31:33
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022401057,2025-03-26T00:00:00,DEN vs. MIL,W,38.1,16,25,0.64,3,6,0.5,4,7,0.571,2,8,10,10,3,0,0,2,2,5,39,14,63.0,1,1,62.0,1,1,1,1,30,7,13,24,9,20,24,35,25,59,39,46,48,27,31,63,34,57,22,36,11,23,38,1,1,26,1,38:06
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400975,2025-03-15T00:00:00,DEN vs. WAS,L,39.21333333333333,16,30,0.533,1,8,0.125,7,7,1.0,3,10,13,9,3,1,2,1,3,10,40,6,75.1,1,0,69.0,1,47,47,47,17,7,6,47,42,9,58,18,25,1,22,31,33,41,31,40,3,29,40,6,8,39,15,1,35,13,1,39:13
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400965,2025-03-14T00:00:00,DEN vs. LAL,W,37.778333333333336,8,16,0.5,0,4,0.0,12,17,0.706,1,6,7,5,4,3,1,0,5,12,28,2,51.9,0,0,48.0,1,1,1,1,33,56,46,50,59,32,59,2,2,50,55,59,62,65,20,8,11,1,66,2,33,46,58,60,35,58,1,37:47
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400952,2025-03-12T00:00:00,DEN vs. MIN,L,38.266666666666666,13,23,0.565,2,6,0.333,6,8,0.75,3,5,8,4,3,1,0,1,3,5,34,-24,49.6,0,0,50.0,1,47,47,47,26,18,16,37,24,20,41,24,18,41,22,66,60,66,31,40,34,29,40,36,20,69,61,60,35,55,1,38:16
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400936,2025-03-10T00:00:00,DEN @ OKC,W,39.6,15,20,0.75,1,2,0.5,4,5,0.8,2,16,18,8,1,1,1,0,4,6,35,8,73.6,1,0,66.0,1,1,1,1,13,9,26,6,42,53,24,35,39,31,39,5,6,50,58,40,11,1,59,24,17,32,16,1,35,17,1,39:36
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400920,2025-03-09T00:00:00,DEN @ OKC,L,41.233333333333334,10,23,0.435,2,10,0.2,2,6,0.333,2,11,13,9,2,1,3,2,3,6,24,-13,63.1,1,0,56.0,1,47,47,47,6,41,16,64,24,6,54,54,32,67,39,22,33,41,44,40,1,57,40,24,51,66,37,1,35,42,1,41:14
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400909,2025-03-07T00:00:00,DEN vs. PHX,W,44.915,13,22,0.591,3,7,0.429,2,3,0.667,4,17,21,22,4,3,0,1,3,7,31,8,94.2,1,1,83.0,1,1,1,1,2,18,18,31,9,11,35,54,54,52,14,2,3,1,20,8,34,29,40,17,28,32,2,1,1,3,1,44:55
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400896,2025-03-05T00:00:00,DEN vs. SAC,W,38.12166666666667,9,18,0.5,0,2,0.0,4,6,0.667,5,10,15,6,7,1,0,2,3,7,22,-7,45.0,1,0,45.0,1,1,1,1,29,46,38,50,59,53,59,35,32,52,7,31,18,61,1,40,34,57,40,17,56,61,63,1,35,62,1,38:07
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400866,2025-03-02T00:00:00,DEN @ BOS,L,39.38333333333333,9,15,0.6,2,3,0.667,0,0,0.0,3,11,14,9,2,2,0,0,2,6,20,0,54.3,1,0,49.0,1,47,47,47,16,46,53,29,24,38,10,68,69,68,22,22,22,41,44,19,34,1,22,24,58,50,56,1,35,56,1,39:23
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400850,2025-02-28T00:00:00,DEN @ DET,W,34.166666666666664,6,12,0.5,0,3,0.0,11,12,0.917,0,17,17,15,7,1,2,1,2,9,23,33,67.9,1,1,61.0,1,1,1,1,53,63,63,50,59,38,59,3,7,19,64,2,11,7,1,40,3,29,22,8,53,3,22,1,1,31,1,34:10
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400846,2025-02-27T00:00:00,DEN @ MIL,L,37.51833333333333,13,16,0.813,1,2,0.5,5,7,0.714,1,13,14,10,5,1,0,0,4,6,32,-5,61.8,1,1,59.0,1,47,47,47,35,18,46,3,42,53,24,29,25,48,55,10,22,27,9,40,34,1,59,24,26,59,41,1,1,35,1,37:31
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400822,2025-02-24T00:00:00,DEN @ IND,W,38.53333333333333,9,14,0.643,0,1,0.0,0,0,0.0,0,9,9,19,4,3,1,0,1,2,18,17,65.3,1,0,54.0,1,1,1,1,23,46,56,23,59,63,59,68,69,68,64,39,54,2,20,8,11,1,8,67,64,22,32,1,35,49,1,38:32
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400808,2025-02-22T00:00:00,DEN vs. LAL,L,35.166666666666664,2,7,0.286,0,1,0.0,8,10,0.8,4,9,13,10,6,1,0,2,3,8,12,-11,39.6,1,1,37.0,1,47,47,47,51,70,69,70,59,63,59,11,9,31,14,39,33,27,5,40,34,57,40,10,69,65,68,1,1,68,1,35:10
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400794,2025-02-20T00:00:00,DEN vs. CHA,W,36.916666666666664,11,22,0.5,6,14,0.429,1,2,0.5,4,13,17,9,2,1,1,0,1,3,29,14,66.9,1,0,65.0,1,1,1,1,40,32,18,50,2,1,35,63,60,60,14,10,11,41,44,40,11,1,8,55,31,23,26,1,35,18,1,36:55
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400780,2025-02-12T00:00:00,DEN vs. POR,W,36.05,11,20,0.55,0,3,0.0,4,4,1.0,3,12,15,10,4,2,0,1,4,3,26,6,61.0,1,1,55.0,1,1,1,1,47,32,26,41,59,38,59,35,45,1,22,16,18,27,20,19,34,29,59,55,46,39,44,1,1,48,1,36:03
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400763,2025-02-10T00:00:00,DEN vs. POR,W,30.766666666666666,15,22,0.682,2,7,0.286,8,8,1.0,1,6,7,8,5,3,1,1,2,9,40,22,67.4,0,0,65.0,1,1,1,1,61,9,18,17,24,11,47,11,18,1,55,59,62,50,9,8,11,29,22,8,8,14,25,60,35,18,1,30:46
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400749,2025-02-08T00:00:00,DEN @ PHX,W,28.626666666666665,11,13,0.846,1,2,0.5,3,3,1.0,4,7,11,9,2,0,0,1,4,3,26,19,50.7,1,0,47.0,1,1,1,1,70,32,57,1,42,53,24,45,54,1,14,52,46,41,44,63,34,29,59,55,46,20,59,1,35,61,1,28:38
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400730,2025-02-06T00:00:00,DEN vs. ORL,W,31.116666666666667,11,16,0.688,2,4,0.5,4,6,0.667,0,10,10,12,3,2,0,0,2,3,28,22,61.0,1,1,56.0,1,1,1,1,59,32,46,14,24,32,24,35,32,52,64,31,48,21,31,19,34,1,22,55,33,14,44,1,1,42,1,31:07
