SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG
2024-25,1610612743,DEN,Denver Nuggets,0022401193,2025-04-13T00:00:00,DEN @ HOU,W,48.0,45,88,0.511,10,29,0.345,26,31,0.839,11,36,47,28,9.0,7,6,4,13,24,126,15.0,1,1,1,1,7,44,45,34,54,56,51,7,11,20,40,31,31,54,10,43,22,25,8,9,28,18,1
2024-25,1610612743,DEN,Denver Nuggets,0022401180,2025-04-11T00:00:00,DEN vs. MEM,W,48.0,44,91,0.484,5,24,0.208,24,31,0.774,11,41,52,32,13.0,9,2,5,17,24,117,8.0,1,1,1,1,7,48,34,57,81,74,79,13,11,44,40,5,15,34,32,23,69,36,34,9,52,35,1
2024-25,1610612743,DEN,Denver Nuggets,0022401165,2025-04-09T00:00:00,DEN @ SAC,W,48.0,43,86,0.5,13,34,0.382,25,31,0.806,12,33,45,30,7.0,7,5,5,16,22,124,8.0,1,1,1,1,7,52,57,43,27,27,38,10,11,29,32,47,43,41,4,43,31,36,21,17,32,35,1
2024-25,1610612743,DEN,Denver Nuggets,0022401142,2025-04-06T00:00:00,DEN vs. IND,L,48.0,50,93,0.538,8,31,0.258,12,18,0.667,9,38,47,33,13.0,2,7,7,17,17,120,-5.0,1,51,51,51,7,15,27,25,70,44,74,64,61,68,54,22,31,28,32,82,12,64,34,46,45,58,1
2024-25,1610612743,DEN,Denver Nuggets,0022401125,2025-04-04T00:00:00,DEN @ GSW,L,48.0,40,74,0.541,12,31,0.387,12,13,0.923,7,31,38,28,26.0,8,4,2,18,15,104,-14.0,1,51,51,51,7,67,82,23,35,44,36,64,76,8,72,64,70,54,82,35,45,5,43,65,72,72,1
2024-25,1610612743,DEN,Denver Nuggets,0022401110,2025-04-02T00:00:00,DEN vs. SAS,L,48.0,38,96,0.396,13,44,0.295,17,25,0.68,14,44,58,24,12.0,7,4,5,12,17,106,-7.0,1,51,51,51,7,74,17,81,27,1,69,40,29,66,15,1,1,69,25,43,45,36,4,46,70,60,1
2024-25,1610612743,DEN,Denver Nuggets,0022401102,2025-04-01T00:00:00,DEN vs. MIN,L,58.0,47,86,0.547,12,34,0.353,33,44,0.75,8,37,45,33,18.0,7,7,2,22,34,139,-1.0,1,51,51,51,1,29,57,19,35,27,47,2,2,48,62,26,43,28,59,43,12,5,68,1,8,51,1
2024-25,1610612743,DEN,Denver Nuggets,0022401073,2025-03-28T00:00:00,DEN vs. UTA,W,48.0,48,83,0.578,11,29,0.379,22,28,0.786,9,36,45,38,18.0,12,13,0,16,19,129,36.0,1,1,1,1,7,25,68,10,47,56,40,22,21,38,54,31,43,11,59,7,1,1,21,37,22,1,1
2024-25,1610612743,DEN,Denver Nuggets,0022401057,2025-03-26T00:00:00,DEN vs. MIL,W,48.0,49,90,0.544,16,37,0.432,13,22,0.591,8,38,46,36,10.0,6,4,6,12,14,127,10.0,1,1,1,1,7,19,36,21,7,14,25,61,40,77,62,22,34,17,14,58,45,51,4,73,25,31,1
2024-25,1610612743,DEN,Denver Nuggets,0022401042,2025-03-24T00:00:00,DEN vs. CHI,L,48.0,46,97,0.474,11,36,0.306,16,24,0.667,17,35,52,34,12.0,5,9,5,16,17,119,-10.0,1,51,51,51,7,35,12,62,47,18,64,47,31,68,3,36,15,23,25,67,3,36,21,46,48,66,1
2024-25,1610612743,DEN,Denver Nuggets,0022401035,2025-03-23T00:00:00,DEN @ HOU,W,48.0,44,87,0.506,10,21,0.476,18,26,0.692,10,33,43,28,9.0,5,4,7,23,20,116,5.0,1,1,1,1,7,48,49,38,54,80,17,33,26,62,47,47,51,54,10,67,45,64,75,28,54,39,1
2024-25,1610612743,DEN,Denver Nuggets,0022401022,2025-03-21T00:00:00,DEN @ POR,L,48.0,38,76,0.5,9,26,0.346,24,28,0.857,11,20,31,24,21.0,10,2,6,25,18,109,-19.0,1,51,51,51,7,74,80,43,65,70,50,13,21,19,40,82,82,69,76,18,69,51,80,42,66,76,1
2024-25,1610612743,DEN,Denver Nuggets,0022401006,2025-03-19T00:00:00,DEN @ LAL,L,48.0,41,87,0.471,13,39,0.333,13,21,0.619,12,33,45,25,19.0,8,4,3,17,17,108,-12.0,1,51,51,51,7,60,49,64,27,8,57,61,45,75,32,47,43,67,66,35,45,14,34,46,67,69,1
2024-25,1610612743,DEN,Denver Nuggets,0022400990,2025-03-17T00:00:00,DEN @ GSW,W,48.0,43,92,0.467,14,39,0.359,14,18,0.778,19,34,53,32,22.0,12,7,10,24,21,114,9.0,1,1,1,1,7,52,28,65,22,8,44,55,61,41,1,40,13,34,78,7,12,77,78,24,57,32,1
2024-25,1610612743,DEN,Denver Nuggets,0022400975,2025-03-15T00:00:00,DEN vs. WAS,L,48.0,48,95,0.505,12,34,0.353,15,17,0.882,10,32,42,40,18.0,12,8,4,20,17,123,-3.0,1,51,51,51,7,25,21,40,35,27,47,53,66,16,47,55,57,5,59,7,5,25,59,46,36,53,1
2024-25,1610612743,DEN,Denver Nuggets,0022400965,2025-03-14T00:00:00,DEN vs. LAL,W,48.0,44,85,0.518,13,31,0.419,30,38,0.789,9,30,39,30,12.0,7,5,2,15,25,131,5.0,1,1,1,1,7,48,61,31,27,44,27,3,3,37,54,66,64,41,25,43,31,5,18,6,20,39,1
2024-25,1610612743,DEN,Denver Nuggets,0022400952,2025-03-12T00:00:00,DEN vs. MIN,L,48.0,36,89,0.404,7,30,0.233,16,22,0.727,12,30,42,20,10.0,9,4,5,16,16,95,-20.0,1,51,51,51,7,77,39,78,74,52,76,47,40,54,32,66,57,80,14,23,45,36,21,58,79,77,1
