TEAM_NAME,TEAM_ID,GAMESTREAK,STARTDATE,ENDDATE,ACTIVESTREAK,NUMSEASONS,LASTSEASON,FIRSTSEASON,ABBREVIATION
Detroit Pistons,1610612765,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Memphis Grizzlies,1610612763,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Phoenix Suns,1610612756,82,2023-10-24T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
New York Knicks,1610612752,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
New Orleans Pelicans,1610612740,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Sacramento Kings,1610612758,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
San Antonio Spurs,1610612759,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Utah Jazz,1610612762,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Miami Heat,1610612748,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Los Angeles Lakers,1610612747,82,2023-10-24T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
LA Clippers,1610612746,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Indiana Pacers,1610612754,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Philadelphia 76ers,1610612755,82,2023-10-26T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Brooklyn Nets,1610612751,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Atlanta Hawks,1610612737,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Orlando Magic,1610612753,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Charlotte Hornets,1610612766,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Oklahoma City Thunder,1610612760,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Minnesota Timberwolves,1610612750,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Denver Nuggets,1610612743,82,2023-10-24T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Chicago Bulls,1610612741,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Milwaukee Bucks,1610612749,82,2023-10-26T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Toronto Raptors,1610612761,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Washington Wizards,1610612764,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Portland Trail Blazers,1610612757,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Houston Rockets,1610612745,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Cleveland Cavaliers,1610612739,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Dallas Mavericks,1610612742,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Golden State Warriors,1610612744,82,2023-10-24T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Boston Celtics,1610612738,82,2023-10-25T00:00:00,2024-04-14T00:00:00,1,1,2023-24,2023-24,
Texas Legends,1612709918,34,2023-12-27T00:00:00,2024-03-30T00:00:00,1,1,2023-24,2023-24,
Westchester Knicks,1612709919,34,2023-12-27T00:00:00,2024-03-30T00:00:00,1,1,2023-24,2023-24,
Long Island Nets,1612709921,34,2023-12-27T00:00:00,2024-03-30T00:00:00,1,1,2023-24,2023-24,
