GAME_DATE,OPPONENT,IS_HOME,MURRAY_OUT,WON_GAME,SEASON_AVG_AST,ROLL_3_AST,ROLL_5_AST,ROLL_10_AST,HEAD2HEAD_AVG_AST,SEASON_AVG_MIN,SEASON_AVG_FG_PCT,OPP_AST,OPP_DEF_RATING,OPP_PACE,IS_HOME,DAYS_RESTED,WON_GAME,MURRAY_OUT,SEASON_AVG_AST_MURRAY_OUT,AST
2020-12-25,LAC,1,0,0,14.0,,,,,42.0,0.611,22.0,106.13207547169812,0.4416666666666666,1,2.0,0,0,,10
2020-12-28,HOU,1,0,1,12.0,,,,,40.0,0.5745,27.0,117.66903249906612,0.4040754716981132,1,3.0,1,0,,18
2020-12-29,SAC,0,1,0,14.0,14.0,,,14.0,38.0,0.6253333333333333,22.666666666666668,105.04201680672269,0.4216912751677852,0,1.0,0,1,,12
2021-01-01,PHX,1,0,0,13.5,13.333333333333334,,,,38.25,0.62975,28.0,115.3846153846154,0.4008333333333332,1,3.0,0,0,,11
2021-01-03,MIN,0,0,1,13.0,13.666666666666666,13.0,,,36.6,0.6114,21.0,95.59197154471543,0.4373333333333333,0,2.0,1,0,,12
2021-01-05,MIN,1,0,1,12.833333333333334,11.666666666666666,12.6,,12.0,35.833333333333336,0.6206666666666667,23.0,105.36398467432949,0.4205,1,2.0,1,0,,6
2021-01-07,DAL,1,0,0,11.857142857142858,9.666666666666666,11.8,,,36.0,0.6177142857142857,21.666666666666668,104.38829787234044,0.4177777777777777,1,2.0,0,0,,4
2021-01-09,PHI,0,0,1,10.875,7.333333333333333,9.0,,,36.625,0.597,30.0,113.77689834281476,0.4492222222222222,0,2.0,1,0,,12
2021-01-10,NYK,0,0,1,11.0,7.333333333333333,9.0,,,35.77777777777778,0.614,24.333333333333332,102.87654814222932,0.4171666666666667,0,1.0,1,0,,5
2021-01-12,BKN,0,0,0,10.4,7.0,7.8,10.4,,35.2,0.6125999999999999,26.333333333333332,107.55346767214736,0.4493888888888889,0,2.0,0,0,,11
2021-01-14,GSW,1,0,1,10.454545454545457,9.333333333333334,7.6,10.1,,35.09090909090909,0.5997272727272727,26.666666666666668,103.9610475062508,0.4221666666666667,1,2.0,1,0,,10
2021-01-17,UTA,1,0,0,10.416666666666666,8.666666666666666,8.4,10.1,,35.166666666666664,0.5914166666666666,23.333333333333332,113.79358052019924,0.4015555555555555,1,3.0,0,0,,9
2021-01-19,OKC,1,0,1,10.307692307692308,10.0,9.4,9.2,,35.53846153846154,0.5927692307692307,22.333333333333332,103.2485520020146,0.4264161073825503,1,2.0,1,0,,6
2021-01-22,PHX,0,0,1,10.0,8.333333333333334,8.2,8.6,11.0,35.0,0.5912142857142857,25.333333333333332,104.71204188481676,0.4244444444444444,0,3.0,1,0,,8
2021-01-23,PHX,0,0,1,9.866666666666667,7.666666666666667,8.8,8.3,9.5,35.333333333333336,0.5888666666666665,28.333333333333332,107.61904761904763,0.4228187919463086,0,1.0,1,0,,6
2021-01-25,DAL,0,0,1,9.625,6.666666666666667,7.8,7.7,4.0,35.75,0.578875,23.333333333333332,116.49335263919968,0.4220555555555556,0,2.0,1,0,,4
2021-01-27,MIA,0,0,1,9.294117647058824,6.0,6.6,7.5,,35.64705882352941,0.5810000000000001,22.666666666666668,96.3583200425306,0.418,0,2.0,1,0,,3
2021-01-29,SAS,0,0,0,8.944444444444445,4.333333333333333,5.4,7.4,,35.55555555555556,0.5844444444444445,23.333333333333332,114.82116932823018,0.4209444444444444,0,2.0,0,0,,5
2021-01-31,UTA,1,0,1,8.736842105263158,4.0,5.2,6.7,9.0,35.73684210526316,0.5843684210526316,21.666666666666668,120.54948135688254,0.3963333333333333,1,2.0,1,0,,5
2021-02-04,LAL,0,0,0,8.55,4.333333333333333,4.6,6.7,,35.8,0.5878500000000001,22.333333333333332,119.78521272201571,0.4034999999999999,0,4.0,0,0,,6
2021-02-06,SAC,0,1,0,8.428571428571429,5.333333333333333,4.6,6.2,13.0,35.76190476190476,0.5777142857142857,25.333333333333332,112.14333112143332,0.4186111111111111,0,2.0,0,1,12.0,12
2021-02-08,MIL,1,0,0,8.590909090909092,7.666666666666667,6.2,6.4,,36.0,0.5790000000000001,28.666666666666668,120.84882677266316,0.4332777777777777,1,2.0,0,0,,6
2021-02-10,CLE,1,0,1,8.478260869565217,8.0,6.8,6.1,,36.130434782608695,0.5755652173913044,22.333333333333332,104.86965727140402,0.4198333333333333,1,2.0,1,0,,12
2021-02-12,OKC,1,0,1,8.625,10.0,8.2,6.7,6.0,35.875,0.5813333333333334,26.666666666666668,103.50414016560664,0.4328831168831168,1,2.0,1,0,,9
2021-02-14,LAL,1,0,1,8.64,9.0,9.0,6.8,6.0,35.92,0.5806,22.666666666666668,113.57802874743328,0.4183624161073825,1,2.0,1,0,,10
2021-02-16,BOS,0,0,0,8.692307692307692,10.333333333333334,9.8,7.2,,35.88461538461539,0.5763846153846154,19.666666666666668,102.04747000521648,0.426,0,2.0,0,0,,5
2021-02-17,WAS,0,0,0,8.555555555555555,8.0,8.4,7.3,,35.96296296296296,0.5808148148148148,23.0,102.10473565522426,0.4434444444444445,0,1.0,0,0,,9
2021-02-19,CLE,0,0,1,8.571428571428571,8.0,9.0,7.9,12.0,36.0,0.5804642857142858,21.333333333333332,100.28923541247484,0.4417777777777777,0,2.0,1,0,,10
2021-02-21,ATL,0,0,0,8.620689655172415,8.0,8.6,8.4,,35.89655172413793,0.582,19.0,115.59719600970612,0.4121111111111111,0,2.0,0,0,,6
2021-02-23,POR,1,0,1,8.533333333333333,8.333333333333334,8.0,8.5,,35.93333333333333,0.5737,20.0,110.75325358222688,0.4226111111111111,1,2.0,1,0,,5
2021-02-25,WAS,1,0,0,8.419354838709678,7.0,7.0,8.4,9.0,36.0,0.5723225806451612,26.666666666666668,109.2879631872124,0.4433825503355704,1,2.0,0,0,,7
2021-02-27,OKC,0,0,1,8.375,6.0,7.4,7.9,7.5,36.0625,0.5700624999999999,24.0,106.35415255385448,0.4100555555555555,0,2.0,1,0,,13
2021-03-01,CHI,0,0,1,8.515151515151516,8.333333333333334,8.2,8.6,,35.878787878787875,0.577030303030303,25.666666666666668,114.4389223123202,0.4105234899328858,0,2.0,1,0,,9
2021-03-02,MIL,0,0,1,8.529411764705882,9.666666666666666,8.0,8.3,6.0,35.94117647058823,0.5779117647058822,25.0,121.24561175399816,0.4272777777777777,0,1.0,1,0,,11
2021-03-04,IND,0,0,1,8.6,11.0,9.0,8.5,,35.94285714285714,0.5800285714285713,27.0,106.93309499489276,0.4351111111111111,0,2.0,1,0,,8
2021-03-12,MEM,0,0,1,8.583333333333334,9.333333333333334,9.6,8.3,,35.97222222222222,0.5778055555555555,26.0,111.1996078911898,0.4533888888888889,0,8.0,1,0,,7
2021-03-13,DAL,1,0,0,8.54054054054054,8.666666666666666,9.6,8.5,4.0,35.972972972972975,0.5781621621621621,22.333333333333332,108.68040947973634,0.3961666666666667,1,1.0,0,0,,11
2021-03-15,IND,1,0,1,8.605263157894736,8.666666666666666,9.2,8.7,8.0,35.973684210526315,0.5761052631578947,24.666666666666668,106.9923623913616,0.4218888888888888,1,2.0,1,0,,5
2021-03-17,CHA,1,0,1,8.512820512820513,7.666666666666667,8.4,8.2,,35.92307692307692,0.5726153846153846,28.666666666666668,110.38456558332255,0.4290555555555555,1,2.0,1,0,,10
2021-03-19,CHI,1,0,1,8.55,8.666666666666666,8.2,8.6,9.0,35.75,0.579725,27.666666666666668,112.2112211221122,0.4208333333333333,1,2.0,1,0,,9
2021-03-21,NOP,1,0,0,8.560975609756097,8.0,8.4,9.0,,35.90243902439025,0.580439024390244,28.666666666666668,106.63832121793992,0.4050555555555556,1,2.0,0,0,,10
2021-03-23,ORL,0,0,1,8.595238095238095,9.666666666666666,9.0,9.3,,35.88095238095238,0.5829047619047619,22.333333333333332,107.9988851727982,0.3986666666666666,0,2.0,1,0,,10
2021-03-24,TOR,0,0,0,8.627906976744185,9.666666666666666,8.8,9.0,,35.883720930232556,0.5843953488372093,23.0,103.6473366570454,0.4234444444444444,0,1.0,0,0,,5
2021-03-26,NOP,0,0,1,8.545454545454545,8.333333333333334,8.8,8.6,10.0,35.75,0.5840909090909091,21.666666666666668,117.55990724040196,0.4312222222222222,0,2.0,1,0,,9
2021-03-28,ATL,1,0,1,8.555555555555555,8.0,8.6,8.4,6.0,35.86666666666667,0.5837111111111112,23.0,118.86556374252746,0.3996111111111111,1,2.0,1,0,,8
2021-03-30,PHI,1,0,1,8.543478260869565,7.333333333333333,8.4,8.4,12.0,35.69565217391305,0.5836956521739131,18.666666666666668,108.52355191977834,0.4210555555555555,1,2.0,1,0,,5
2021-04-01,LAC,0,0,1,8.46808510638298,7.333333333333333,7.4,8.2,10.0,35.659574468085104,0.5834255319148937,24.0,106.80642165317764,0.4187222222222221,0,2.0,1,0,,7
2021-04-04,ORL,1,0,1,8.4375,6.666666666666667,6.8,7.8,10.0,35.666666666666664,0.5790833333333333,18.0,99.11470361816782,0.4184697986577181,1,3.0,1,0,,16
2021-04-06,DET,1,1,1,8.591836734693878,9.333333333333334,9.0,8.9,,35.714285714285715,0.5765510204081632,27.666666666666668,108.80930597307542,0.4250555555555555,1,2.0,1,1,12.0,11
2021-04-07,SAS,1,1,1,8.64,11.333333333333334,9.4,9.0,5.0,35.54,0.5812799999999999,23.0,111.10430950048972,0.4109685534591195,1,1.0,1,1,11.666666666666666,10
2021-04-09,SAS,1,1,1,8.666666666666666,12.333333333333334,9.8,9.1,7.5,35.431372549019606,0.5818627450980391,22.333333333333332,104.96183206106868,0.4220134228187919,1,2.0,1,1,11.25,14
2021-04-11,BOS,1,1,0,8.76923076923077,11.666666666666666,11.6,9.5,5.0,35.48076923076923,0.5808461538461538,24.333333333333332,112.61854583772391,0.4076241610738255,1,2.0,0,1,11.8,11
2021-04-12,GSW,0,0,0,8.81132075471698,11.666666666666666,12.4,9.6,10.0,35.41509433962264,0.5774339622641509,28.666666666666668,114.28202479338844,0.4302222222222222,0,1.0,0,0,,8
2021-04-14,MIA,1,1,1,8.796296296296296,11.0,10.8,9.9,3.0,35.44444444444444,0.5755555555555555,22.333333333333332,104.20965744944286,0.4038333333333332,1,2.0,1,1,11.666666666666666,11
2021-04-16,HOU,0,1,1,8.836363636363636,10.0,10.8,10.1,18.0,35.38181818181818,0.572890909090909,26.333333333333332,110.71383766152304,0.4428333333333333,0,2.0,1,1,11.571428571428571,7
2021-04-19,MEM,1,1,1,8.803571428571429,8.666666666666666,10.2,10.0,7.0,35.232142857142854,0.5775357142857143,30.333333333333332,125.65050671049026,0.4056666666666667,1,3.0,1,1,11.0,8
2021-04-21,POR,0,1,1,8.789473684210526,8.666666666666666,9.0,10.3,5.0,35.40350877192982,0.5787192982456141,21.0,109.6942273412862,0.4051666666666665,0,2.0,1,1,10.666666666666666,5
2021-04-23,GSW,0,1,0,8.724137931034482,6.666666666666667,7.8,10.1,9.0,35.41379310344828,0.5773620689655172,19.666666666666668,106.30870779385631,0.4376666666666667,0,2.0,0,1,10.1,6
2021-04-24,HOU,1,1,1,8.677966101694915,6.333333333333333,7.4,9.1,12.5,35.3728813559322,0.5750000000000001,20.333333333333332,92.016588906169,0.4286666666666667,1,1.0,1,1,9.727272727272728,12
2021-04-26,MEM,1,1,1,8.733333333333333,7.666666666666667,7.6,9.2,7.5,35.266666666666666,0.5773166666666667,24.666666666666668,113.01413472558257,0.4362777777777777,1,2.0,1,1,9.916666666666666,5
2021-04-28,NOP,1,1,1,8.672131147540984,7.666666666666667,7.2,8.7,9.5,35.18032786885246,0.5760491803278689,24.0,110.1264173074417,0.4262777777777777,1,2.0,1,1,9.538461538461538,8
2021-04-29,TOR,1,1,1,8.661290322580646,8.333333333333334,7.2,8.1,5.0,35.193548387096776,0.5764354838709678,29.0,111.3757355001401,0.3965555555555555,1,1.0,1,1,9.428571428571429,2
2021-05-01,LAC,0,1,1,8.555555555555555,5.0,6.6,7.2,8.5,35.07936507936508,0.5770476190476191,26.333333333333332,105.56750941366327,0.4131111111111111,0,2.0,1,1,8.933333333333334,7
2021-05-03,LAL,0,1,0,8.53125,5.666666666666667,6.8,7.1,8.0,35.046875,0.576296875,25.666666666666668,108.92953200645508,0.4131111111111111,0,2.0,0,1,8.8125,5
2021-05-05,NYK,1,1,1,8.476923076923077,4.666666666666667,5.4,6.5,5.0,35.06153846153846,0.5740307692307693,22.333333333333332,108.20266943112608,0.4287222222222222,1,2.0,1,1,8.588235294117647,6
2021-05-07,UTA,0,1,0,8.43939393939394,6.0,5.6,6.4,7.0,34.96969696969697,0.5748030303030304,22.0,116.27906976744184,0.4085,0,2.0,0,1,8.444444444444445,13
2021-05-08,BKN,1,1,0,8.507462686567164,8.0,6.6,6.9,11.0,34.97014925373134,0.5784328358208956,19.0,109.11301676692692,0.4340555555555555,1,1.0,0,1,8.68421052631579,6
2021-05-11,CHA,0,1,1,8.470588235294118,8.333333333333334,7.4,7.0,10.0,35.0,0.5769264705882353,26.333333333333332,105.9674734280958,0.4338333333333333,0,3.0,1,1,8.55,6
2021-05-13,MIN,0,1,1,8.434782608695652,8.333333333333334,7.2,7.0,9.0,34.971014492753625,0.5749130434782609,29.0,111.49068322981368,0.4472222222222222,0,2.0,1,1,8.428571428571429,4
2021-05-14,DET,0,1,1,8.371428571428572,5.333333333333333,7.0,6.2,11.0,34.92857142857143,0.5762285714285715,21.666666666666668,99.28514694201748,0.4196666666666667,0,1.0,1,1,8.227272727272727,11
2021-05-16,POR,0,1,0,8.408450704225352,7.0,8.0,6.8,5.0,34.80281690140845,0.5770704225352113,23.333333333333332,120.74716477651768,0.4163888888888889,0,2.0,0,1,8.347826086956522,2
2021-05-22,POR,1,0,0,8.319444444444445,5.666666666666667,5.8,6.2,4.0,34.55555555555556,0.5764027777777777,21.333333333333332,119.65927528393726,0.4108888888888888,1,6.0,0,0,,1
2021-05-24,POR,1,0,1,8.219178082191782,4.666666666666667,4.8,6.1,3.25,34.56164383561644,0.5756164383561644,25.333333333333332,125.37071987058506,0.4121111111111111,1,2.0,1,0,,5
2021-05-27,POR,0,0,1,8.175675675675675,2.6666666666666665,4.6,5.9,3.6,34.513513513513516,0.5779729729729729,22.666666666666668,124.60632616732848,0.4057222222222222,0,3.0,1,0,,5
2021-05-29,POR,0,0,0,8.133333333333333,3.6666666666666665,4.8,5.9,3.8333333333333335,34.52,0.5769333333333333,21.333333333333332,119.49035812672176,0.4033333333333333,0,2.0,0,0,,1
2021-06-01,POR,1,0,1,8.039473684210526,3.6666666666666665,2.8,5.4,3.4285714285714284,34.421052631578945,0.5744605263157895,19.666666666666668,116.0799890425969,0.4056111111111111,1,3.0,1,0,,9
2021-06-03,POR,0,0,1,8.051948051948052,5.0,4.2,5.0,4.125,34.57142857142857,0.5728701298701299,23.0,117.28160263725115,0.4097142857142857,0,2.0,1,0,,6
2021-06-07,PHX,0,0,0,8.025641025641026,5.333333333333333,5.2,5.0,8.333333333333334,34.58974358974359,0.5731025641025641,25.666666666666668,114.62119094213026,0.3974444444444444,0,4.0,0,0,,3
2021-06-09,PHX,0,0,0,7.962025316455696,6.0,4.8,4.7,7.0,34.607594936708864,0.5713544303797469,27.666666666666668,121.64604476574448,0.3996111111111111,0,2.0,0,0,,6
2021-06-11,PHX,1,0,0,7.9375,5.0,5.0,4.9,6.8,34.55,0.5708249999999999,27.0,126.0740949429497,0.3943888888888889,1,2.0,0,0,,10
