GAME_DATE,OPPONENT,IS_HOME,MURRAY_OUT,WON_GAME,SEASON_AVG_REB,ROLL_3_REB,ROLL_5_REB,ROLL_10_REB,HEAD2HEAD_AVG_REB,OPP_REB,OPP_DEF_RATING,OPP_PACE,IS_HOME,DAYS_RESTED,WON_GAME,MURRAY_OUT,SEASON_AVG_REB_MURRAY_OUT,REB
2020-12-25,LAC,1,0,0,15.0,,,,,42.5,106.13207547169812,0.4416666666666666,1,2.0,0,0,,9
2020-12-28,HOU,1,0,1,12.0,,,,,42.0,117.66903249906612,0.4040754716981132,1,3.0,1,0,,12
2020-12-29,SAC,0,1,0,12.0,12.0,,,15.0,49.666666666666664,105.04201680672269,0.4216912751677852,0,1.0,0,1,,10
2021-01-01,PHX,1,0,0,11.5,10.333333333333334,,,,42.666666666666664,115.3846153846154,0.4008333333333332,1,3.0,0,0,,9
2021-01-03,MIN,0,0,1,11.0,10.333333333333334,11.0,,,43.333333333333336,95.59197154471543,0.4373333333333333,0,2.0,1,0,,12
2021-01-05,MIN,1,0,1,11.166666666666666,10.333333333333334,10.4,,12.0,39.333333333333336,105.36398467432949,0.4205,1,2.0,1,0,,15
2021-01-07,DAL,1,0,0,11.714285714285714,12.0,11.6,,,47.0,104.38829787234044,0.4177777777777777,1,2.0,0,0,,11
2021-01-09,PHI,0,0,1,11.625,12.666666666666666,11.4,,,45.666666666666664,113.77689834281476,0.4492222222222222,0,2.0,1,0,,9
2021-01-10,NYK,0,0,1,11.333333333333334,11.666666666666666,11.2,,,45.666666666666664,102.87654814222932,0.4171666666666667,0,1.0,1,0,,10
2021-01-12,BKN,0,0,0,11.2,10.0,11.4,11.2,,44.333333333333336,107.55346767214736,0.4493888888888889,0,2.0,0,0,,8
2021-01-14,GSW,1,0,1,10.909090909090908,9.0,10.6,10.5,,45.0,103.9610475062508,0.4221666666666667,1,2.0,1,0,,14
2021-01-17,UTA,1,0,0,11.166666666666666,10.666666666666666,10.4,11.0,,54.666666666666664,113.79358052019924,0.4015555555555555,1,3.0,0,0,,14
2021-01-19,OKC,1,0,1,11.384615384615383,12.0,11.0,11.2,,46.0,103.2485520020146,0.4264161073825503,1,2.0,1,0,,12
2021-01-22,PHX,0,0,1,11.428571428571429,13.333333333333334,11.6,11.4,9.0,43.666666666666664,104.71204188481676,0.4244444444444444,0,3.0,1,0,,10
