GAME_DATE,OPPONENT,IS_HOME,DAYS_RESTED,SEASON_AVG_PTS,SEASON_AVG_REB,SEASON_AVG_AST,SEASON_AVG_MIN,SEASON_AVG_FGA,SEASON_AVG_FGM,SEASON_AVG_FG_PCT,SEASON_AVG_FG3A,SEASON_AVG_FG3M,SEASON_AVG_FG3_PCT,SEASON_AVG_FTA,SEASON_AVG_FTM,SEASON_AVG_FT_PCT,ROLL_3_PTS,ROLL_3_REB,ROLL_3_AST,ROLL_3_MIN,ROLL_3_FGA,ROLL_3_FGM,ROLL_3_FG_PCT,ROLL_3_FG3A,ROLL_3_FG3M,ROLL_3_FG3_PCT,ROLL_3_FTA,ROLL_3_FTM,ROLL_3_FT_PCT,ROLL_5_PTS,ROLL_5_REB,ROLL_5_AST,ROLL_5_MIN,ROLL_5_FGA,ROLL_5_FGM,ROLL_5_FG_PCT,ROLL_5_FG3A,ROLL_5_FG3M,ROLL_5_FG3_PCT,ROLL_5_FTA,ROLL_5_FTM,ROLL_5_FT_PCT,ROLL_10_PTS,ROLL_10_REB,ROLL_10_AST,ROLL_10_MIN,ROLL_10_FGA,ROLL_10_FGM,ROLL_10_FG_PCT,ROLL_10_FG3A,ROLL_10_FG3M,ROLL_10_FG3_PCT,ROLL_10_FTA,ROLL_10_FTM,ROLL_10_FT_PCT,HEAD2HEAD_AVG_PTS,HEAD2HEAD_AVG_REB,HEAD2HEAD_AVG_AST,HEAD2HEAD_AVG_MIN,HEAD2HEAD_AVG_FGA,HEAD2HEAD_AVG_FGM,HEAD2HEAD_AVG_FG_PCT,HEAD2HEAD_AVG_FG3A,HEAD2HEAD_AVG_FG3M,HEAD2HEAD_AVG_FG3_PCT,HEAD2HEAD_AVG_FTA,HEAD2HEAD_AVG_FTM,HEAD2HEAD_AVG_FT_PCT,MURRAY_OUT,SEASON_AVG_PTS_MURRAY_OUT,SEASON_AVG_REB_MURRAY_OUT,SEASON_AVG_AST_MURRAY_OUT,SEASON_AVG_MIN_MURRAY_OUT,SEASON_AVG_FGA_MURRAY_OUT,SEASON_AVG_FGM_MURRAY_OUT,SEASON_AVG_FG_PCT_MURRAY_OUT,SEASON_AVG_FG3A_MURRAY_OUT,SEASON_AVG_FG3M_MURRAY_OUT,SEASON_AVG_FG3_PCT_MURRAY_OUT,SEASON_AVG_FTA_MURRAY_OUT,SEASON_AVG_FTM_MURRAY_OUT,SEASON_AVG_FT_PCT_MURRAY_OUT,OPP_DEF_RATING,OPP_PACE,OPP_PTS,OPP_REB,OPP_AST,OPP_FGA,OPP_FGM,OPP_FG_PCT,OPP_FG3A,OPP_FG3M,OPP_FG3_PCT,OPP_FTA,OPP_FTM,OPP_FT_PCT,PTS,REB,AST
2024-10-26,LAC,1,2,16.0,12.0,13.0,35.0,13.0,6.0,0.462,3.0,1.0,0.333,4.0,3.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,104.54217736121124,110.96,116.0,42.0,25.0,78.0,38.0,0.487,38.0,15.0,0.395,34.0,25.0,0.735,41,9,4
2024-10-28,TOR,0,2,28.5,10.5,8.5,36.0,19.5,10.0,0.5,7.5,4.0,0.45799999999999996,6.0,4.5,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,115.93729588504245,102.06666666666668,118.33333333333331,35.0,25.666666666666668,82.0,39.666666666666664,0.4793333333333333,32.0,12.333333333333334,0.385,35.0,26.666666666666668,0.7643333333333334,40,10,4
2024-10-29,BKN,0,1,32.333333333333336,10.333333333333334,7.0,38.666666666666664,22.0,12.666666666666666,0.5556666666666666,6.666666666666667,3.6666666666666665,0.5053333333333333,4.666666666666667,3.3333333333333335,0.6666666666666666,32.333333333333336,10.333333333333334,7.0,38.666666666666664,22.0,12.666666666666666,0.5556666666666666,6.666666666666667,3.6666666666666665,0.5053333333333333,4.666666666666667,3.3333333333333335,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,112.8924515698063,99.8,112.66666666666669,42.333333333333336,24.333333333333332,76.33333333333333,37.0,0.4846666666666666,30.333333333333332,11.333333333333334,0.3746666666666666,36.666666666666664,27.333333333333332,0.751,29,18,16
2024-11-01,MIN,0,3,31.5,12.25,9.25,39.25,20.5,11.75,0.5575,5.0,2.75,0.379,6.75,5.25,0.7115,36.666666666666664,12.333333333333334,8.0,40.666666666666664,23.0,13.666666666666666,0.5893333333333334,5.666666666666667,3.3333333333333335,0.39433333333333326,7.666666666666667,6.0,0.6986666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,110.93423539946274,100.51,111.5,42.5,24.25,90.0,41.5,0.46125,31.75,10.5,0.32525,22.75,18.0,0.7775,26,9,13
2024-11-02,UTA,1,1,30.4,11.6,10.0,39.4,19.6,11.0,0.546,4.6,2.6,0.4366,7.4,5.8,0.7292,31.666666666666668,12.333333333333334,11.0,41.666666666666664,19.666666666666668,11.666666666666666,0.5766666666666667,2.6666666666666665,1.6666666666666667,0.4223333333333333,8.333333333333334,6.666666666666667,0.7153333333333333,30.4,11.6,10.0,39.4,19.6,11.0,0.546,4.6,2.6,0.4366,7.4,5.8,0.7292,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,113.78744036912488,102.296,116.4,48.4,28.2,95.2,44.6,0.4684,41.6,13.6,0.3194,18.4,13.6,0.7485999999999999,27,16,9
2024-11-04,TOR,1,2,29.833333333333332,12.333333333333334,9.833333333333334,37.833333333333336,19.333333333333332,10.833333333333334,0.5476666666666666,4.5,2.6666666666666665,0.4888333333333333,6.833333333333333,5.5,0.7743333333333333,27.333333333333332,14.333333333333334,12.666666666666666,37.0,16.666666666666668,9.0,0.5396666666666666,2.3333333333333335,1.6666666666666667,0.4723333333333333,9.0,7.666666666666667,0.882,32.6,12.4,9.2,38.4,20.6,11.8,0.5648,4.8,3.0,0.52,7.4,6.0,0.7792,,,,,,,,,,,,,,40.0,10.0,4.0,44.0,27.0,18.0,0.667,5.0,3.0,0.6,2.0,1.0,0.5,1,27.0,16.0,9.0,30.0,18.0,10.0,0.556,4.0,3.0,0.75,4.0,4.0,1.0,117.74634303166692,106.64571428571428,125.57142857142856,41.0,26.714285714285715,89.14285714285714,43.285714285714285,0.4837142857142856,33.285714285714285,12.428571428571429,0.3775714285714285,33.285714285714285,26.571428571428573,0.7977142857142857,28,14,13
2024-11-06,OKC,1,2,29.571428571428573,12.571428571428571,10.285714285714286,37.857142857142854,19.714285714285715,10.714285714285714,0.5344285714285715,4.571428571428571,2.4285714285714284,0.44757142857142856,7.0,5.714285714285714,0.7887142857142857,27.0,13.0,11.666666666666666,36.0,18.666666666666668,9.333333333333334,0.5036666666666667,4.0,2.0,0.539,7.333333333333333,6.333333333333333,0.8916666666666666,30.0,13.4,11.0,38.6,19.8,11.0,0.5482,3.4,1.8,0.4434,7.4,6.2,0.8042,,,,,,,,,,,,,,16.0,12.0,13.0,35.0,13.0,6.0,0.462,3.0,1.0,0.333,4.0,3.0,0.75,1,27.5,15.0,11.0,34.0,20.0,10.0,0.5055000000000001,4.5,2.0,0.475,6.0,5.5,0.9375,91.38203410143272,104.89714285714284,95.85714285714286,49.42857142857143,24.0,87.14285714285714,34.0,0.3917142857142857,37.42857142857143,10.714285714285714,0.2875714285714285,23.142857142857142,17.142857142857142,0.747,23,20,16
2024-11-08,MIA,1,2,28.75,13.5,11.0,38.0,19.75,10.5,0.523875,4.375,2.25,0.43325,6.875,5.5,0.7735000000000001,26.0,16.666666666666668,12.666666666666666,35.666666666666664,20.0,9.666666666666666,0.48700000000000004,4.0,1.6666666666666667,0.42766666666666664,6.0,5.0,0.8473333333333333,26.6,15.4,13.4,37.6,18.4,9.2,0.5048,3.0,1.4,0.39,8.2,6.8,0.8375999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,111.443486421491,97.42285714285714,108.57142857142856,46.857142857142854,23.857142857142858,88.42857142857143,39.857142857142854,0.4525714285714285,39.0,14.0,0.3558571428571428,19.142857142857142,14.857142857142858,0.7811428571428571,30,11,14
2024-11-10,DAL,1,2,28.88888888888889,13.222222222222221,11.333333333333334,38.22222222222222,19.0,10.555555555555555,0.5596666666666666,4.0,2.111111111111111,0.49622222222222223,6.888888888888889,5.666666666666667,0.7986666666666667,27.0,15.0,14.333333333333334,39.0,18.333333333333332,10.0,0.5836666666666667,3.0,1.0,0.511,7.0,6.0,0.8473333333333333,26.8,14.0,13.0,37.4,17.8,9.6,0.5614,3.2,1.6,0.5900000000000001,7.0,6.0,0.8684,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,108.04308480113008,100.68,108.77777777777776,46.44444444444444,26.0,88.0,39.111111111111114,0.4456666666666667,37.44444444444444,12.333333333333334,0.3302222222222222,24.77777777777778,18.22222222222222,0.7316666666666668,37,18,15
2024-11-22,DAL,1,12,29.7,13.7,11.7,38.2,19.2,10.8,0.5656,3.9,2.2,0.5466,7.0,5.9,0.8188000000000001,30.0,16.333333333333332,15.0,39.0,18.0,11.0,0.6383333333333333,2.3333333333333335,1.6666666666666667,0.7776666666666667,7.0,6.333333333333333,0.8889999999999999,29.0,15.8,13.4,37.0,18.8,10.6,0.5852,3.2,1.8,0.6566,6.6,6.0,0.9084,29.7,13.7,11.7,38.2,19.2,10.8,0.5656,3.9,2.2,0.5466,7.0,5.9,0.8188000000000001,37.0,18.0,15.0,38.0,21.0,13.0,0.619,3.0,3.0,1.0,8.0,8.0,1.0,0,,,,,,,,,,,,,,109.47686224217163,99.808,109.26666666666668,44.266666666666666,26.133333333333333,87.53333333333333,39.13333333333333,0.4474000000000001,37.0,12.533333333333331,0.342,24.866666666666667,18.466666666666665,0.7410666666666668,33,17,10
