GAME_DATE,SEASON,OPPONENT,IS_HOME,DAYS_RESTED,WON_GAME,SEASON_AVG_PTS_MURRAY_OUT,SEASON_AVG_REB_MURRAY_OUT,SEASON_AVG_AST_MURRAY_OUT,MURRAY_OUT,SEASON_AVG_PTS,SEASON_AVG_REB,SEASON_AVG_AST,SEASON_AVG_MIN,SEASON_AVG_FGA,SEASON_AVG_FGM,SEASON_AVG_FG_PCT,SEASON_AVG_FG3A,SEASON_AVG_FG3M,SEASON_AVG_FG3_PCT,SEASON_AVG_FTA,SEASON_AVG_FTM,SEASON_AVG_FT_PCT,ROLL_3_PTS,ROLL_3_REB,ROLL_3_AST,ROLL_3_MIN,ROLL_3_FGA,ROLL_3_FGM,ROLL_3_FG_PCT,ROLL_3_FG3A,ROLL_3_FG3M,ROLL_3_FG3_PCT,ROLL_3_FTA,ROLL_3_FTM,ROLL_3_FT_PCT,ROLL_5_PTS,ROLL_5_REB,ROLL_5_AST,ROLL_5_MIN,ROLL_5_FGA,ROLL_5_FGM,ROLL_5_FG_PCT,ROLL_5_FG3A,ROLL_5_FG3M,ROLL_5_FG3_PCT,ROLL_5_FTA,ROLL_5_FTM,ROLL_5_FT_PCT,ROLL_10_PTS,ROLL_10_REB,ROLL_10_AST,ROLL_10_MIN,ROLL_10_FGA,ROLL_10_FGM,ROLL_10_FG_PCT,ROLL_10_FG3A,ROLL_10_FG3M,ROLL_10_FG3_PCT,ROLL_10_FTA,ROLL_10_FTM,ROLL_10_FT_PCT,HEAD2HEAD_AVG_PTS,HEAD2HEAD_AVG_REB,HEAD2HEAD_AVG_AST,HEAD2HEAD_AVG_MIN,HEAD2HEAD_AVG_FGA,HEAD2HEAD_AVG_FGM,HEAD2HEAD_AVG_FG_PCT,HEAD2HEAD_AVG_FG3A,HEAD2HEAD_AVG_FG3M,HEAD2HEAD_AVG_FG3_PCT,HEAD2HEAD_AVG_FTA,HEAD2HEAD_AVG_FTM,HEAD2HEAD_AVG_FT_PCT,OPP_DEF_RATING,OPP_PACE,OPP_PTS,OPP_REB,OPP_AST,OPP_FGA,OPP_FGM,OPP_FG_PCT,OPP_FG3A,OPP_FG3M,OPP_FG3_PCT,OPP_FTA,OPP_FTM,OPP_FT_PCT,PTS,REB,AST
2020-12-25,2020,LAC,1,2.0,0,,,,0,29.0,15.0,14.0,42.0,18.0,11.0,0.611,2.0,1.0,0.5,9.0,6.0,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.13207547169812,0.4416666666666666,112.5,42.5,22.0,87.0,41.0,0.471,34.5,11.5,0.3299999999999999,25.0,19.0,0.7555000000000001,24,9,10
2020-12-28,2020,HOU,1,3.0,1,,,,0,26.5,12.0,12.0,40.0,15.5,9.0,0.5745,3.0,1.0,0.375,10.0,7.5,0.7424999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.66903249906612,0.4040754716981132,126.0,42.0,27.0,87.0,45.0,0.517,35.0,11.0,0.314,32.0,25.0,0.781,19,12,18
2020-12-29,2020,SAC,0,1.0,0,,,,1,24.0,12.0,14.0,38.0,14.0,8.666666666666666,0.6253333333333333,2.3333333333333335,1.0,0.5833333333333334,7.666666666666667,5.666666666666667,0.7173333333333334,24.0,12.0,14.0,38.0,14.0,8.666666666666666,0.6253333333333333,2.3333333333333335,1.0,0.5833333333333334,7.666666666666667,5.666666666666667,0.7173333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,15.0,14.0,42.0,18.0,11.0,0.611,2.0,1.0,0.5,9.0,6.0,0.667,105.04201680672269,0.4216912751677852,110.0,49.666666666666664,22.666666666666668,88.0,40.0,0.4559999999999999,25.666666666666668,8.333333333333334,0.325,29.666666666666668,21.666666666666668,0.7303333333333333,26,10,12
2021-01-01,2020,PHX,1,3.0,0,,,,0,24.5,11.5,13.5,38.25,14.0,8.75,0.62975,2.5,1.0,0.52075,7.5,6.0,0.788,23.0,10.333333333333334,13.333333333333334,37.0,12.666666666666666,8.0,0.636,2.6666666666666665,1.0,0.5276666666666666,7.0,6.0,0.8283333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.3846153846154,0.4008333333333332,111.0,42.666666666666664,28.0,87.33333333333333,41.333333333333336,0.4723333333333333,38.333333333333336,16.666666666666668,0.4396666666666666,13.333333333333334,11.666666666666666,0.852,17,9,11
2021-01-03,2020,MIN,0,2.0,1,,,,0,23.0,11.0,13.0,36.6,13.8,8.4,0.6114,3.0,1.4,0.5366000000000001,6.0,4.8,0.6304000000000001,20.666666666666668,10.333333333333334,13.666666666666666,34.333333333333336,12.666666666666666,8.0,0.636,3.0,1.6666666666666667,0.6443333333333333,3.3333333333333335,3.0,0.5556666666666666,23.0,11.0,13.0,36.6,13.8,8.4,0.6113999999999999,3.0,1.4,0.5366,6.0,4.8,0.6304000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,95.59197154471543,0.4373333333333333,100.33333333333331,43.333333333333336,21.0,93.33333333333331,39.0,0.4206666666666667,36.333333333333336,10.666666666666666,0.2913333333333334,17.333333333333332,11.666666666666666,0.6793333333333332,19,12,12
2021-01-05,2020,MIN,1,2.0,1,,,,0,22.333333333333332,11.166666666666666,12.833333333333334,35.833333333333336,13.5,8.333333333333334,0.6206666666666667,2.6666666666666665,1.1666666666666667,0.4471666666666667,5.5,4.5,0.6920000000000001,20.666666666666668,10.333333333333334,11.666666666666666,33.666666666666664,13.0,8.0,0.6160000000000001,3.0,1.3333333333333333,0.311,3.3333333333333335,3.3333333333333335,0.6666666666666666,21.0,10.4,12.6,34.6,12.6,7.8,0.6226,2.8,1.2,0.4366,4.8,4.2,0.6970000000000001,,,,,,,,,,,,,,19.0,12.0,12.0,32.0,12.0,8.0,0.667,1.0,0.0,0.0,3.0,3.0,1.0,105.36398467432949,0.4205,106.33333333333331,39.333333333333336,23.0,87.33333333333333,41.0,0.4703333333333333,35.0,12.0,0.342,18.0,12.333333333333334,0.6943333333333332,35,15,6
2021-01-07,2020,DAL,1,2.0,0,,,,0,24.142857142857142,11.714285714285714,11.857142857142858,36.0,14.428571428571429,8.857142857142858,0.6177142857142857,2.4285714285714284,1.1428571428571428,0.5261428571428571,6.428571428571429,5.285714285714286,0.7121428571428572,23.666666666666668,12.0,9.666666666666666,33.0,15.0,9.0,0.6016666666666667,2.3333333333333335,1.3333333333333333,0.5333333333333333,5.0,4.333333333333333,0.611,23.2,11.6,11.8,34.4,14.0,8.8,0.635,2.2,1.2,0.5866,5.0,4.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,104.38829787234044,0.4177777777777777,104.66666666666669,47.0,21.666666666666668,83.0,36.666666666666664,0.4413333333333333,39.333333333333336,13.0,0.332,23.333333333333332,18.333333333333332,0.7976666666666666,38,11,4
2021-01-09,2020,PHI,0,2.0,1,,,,0,25.875,11.625,10.875,36.625,16.5,9.5,0.597,3.375,1.5,0.510375,6.875,5.375,0.698125,30.666666666666668,12.666666666666666,7.333333333333333,36.666666666666664,21.0,11.333333333333334,0.573,4.0,1.6666666666666667,0.4666666666666666,8.333333333333334,6.333333333333333,0.8109999999999999,27.0,11.4,9.0,35.8,18.0,10.0,0.5800000000000001,4.0,1.8,0.4666,6.4,5.2,0.6866,,,,,,,,,,,,,,,,,,,,,,,,,,,113.77689834281476,0.4492222222222222,122.66666666666669,45.666666666666664,30.0,87.66666666666667,45.666666666666664,0.524,29.0,12.666666666666666,0.437,25.333333333333332,18.666666666666668,0.7496666666666667,15,9,12
2021-01-10,2020,NYK,0,1.0,1,,,,0,24.666666666666668,11.333333333333334,11.0,35.77777777777778,15.555555555555555,9.11111111111111,0.614,3.0,1.3333333333333333,0.45366666666666666,6.444444444444445,5.111111111111111,0.7316666666666667,29.333333333333332,11.666666666666666,7.333333333333333,35.666666666666664,19.666666666666668,10.666666666666666,0.6006666666666667,3.6666666666666665,1.6666666666666667,0.4666666666666666,8.333333333333334,6.333333333333333,0.8109999999999999,24.8,11.2,9.0,33.8,16.8,9.4,0.6013999999999999,3.4,1.6,0.4,5.6,4.4,0.6866,,,,,,,,,,,,,,,,,,,,,,,,,,,102.87654814222932,0.4171666666666667,103.0,45.666666666666664,24.333333333333332,87.33333333333333,38.666666666666664,0.4473333333333333,29.0,9.333333333333334,0.3033333333333333,23.0,16.333333333333332,0.7046666666666667,22,10,5
2021-01-12,2020,BKN,0,2.0,0,,,,0,24.4,11.2,10.4,35.2,15.5,9.1,0.6125999999999999,3.0,1.3,0.44160000000000005,6.1,4.9,0.7585,25.0,10.0,7.0,33.333333333333336,18.0,9.666666666666666,0.6006666666666667,4.333333333333333,1.6666666666666667,0.24433333333333337,5.333333333333333,4.0,0.8666666666666666,25.8,11.4,7.8,33.8,17.2,9.8,0.6138,3.0,1.2,0.3466,6.2,5.0,0.8865999999999999,24.4,11.2,10.4,35.2,15.5,9.1,0.6126,3.0,1.3,0.44160000000000005,6.1,4.9,0.7585,,,,,,,,,,,,,,107.55346767214736,0.4493888888888889,116.0,44.333333333333336,26.333333333333332,87.66666666666667,41.666666666666664,0.4763333333333334,34.0,13.0,0.3836666666666667,24.666666666666668,19.666666666666668,0.8133333333333334,23,8,11
