SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE
42024,203999,0042400222,2025-05-07,DEN @ OKC,L,32,6,16,0.375,2,4,0.5,3,5,0.6,3,5,8,6,1,1,6,6,17,-36,1,2024,Playoffs
42024,203999,0042400221,2025-05-05,DEN @ OKC,W,42,15,29,0.517,2,6,0.333,10,13,0.769,5,17,22,6,1,2,7,5,42,10,1,2024,Playoffs
42024,203999,0042400177,2025-05-03,DEN vs. LAC,W,32,6,14,0.429,1,2,0.5,3,4,0.75,0,10,10,8,3,1,5,5,16,16,1,2024,Playoffs
42024,203999,0042400176,2025-05-01,DEN @ LAC,L,42,11,22,0.5,2,4,0.5,1,2,0.5,1,6,7,8,3,1,4,3,25,1,1,2024,Playoffs
42024,203999,0042400175,2025-04-29,DEN vs. LAC,W,37,4,13,0.308,1,4,0.25,4,5,0.8,1,9,10,12,1,2,2,1,13,18,1,2024,Playoffs
42024,203999,0042400174,2025-04-26,DEN @ LAC,W,43,14,25,0.56,3,6,0.5,5,6,0.833,5,16,21,8,2,1,2,4,36,4,1,2024,Playoffs
42024,203999,0042400173,2025-04-24,DEN @ LAC,L,37,9,14,0.643,2,3,0.667,3,4,0.75,1,12,13,13,1,0,2,1,23,-20,1,2024,Playoffs
42024,203999,0042400172,2025-04-21,DEN vs. LAC,L,43,8,16,0.5,4,8,0.5,6,10,0.6,3,8,11,10,3,0,7,2,26,0,1,2024,Playoffs
42024,203999,0042400171,2025-04-19,DEN vs. LAC,W,46,12,24,0.5,1,4,0.25,4,6,0.667,0,9,9,12,3,1,2,4,29,10,1,2024,Playoffs
22024,203999,0022401193,2025-04-13,DEN @ HOU,W,31,7,10,0.7,3,5,0.6,1,2,0.5,1,6,7,7,2,1,1,3,18,34,1,2024,Regular Season
22024,203999,0022401180,2025-04-11,DEN vs. MEM,W,41,11,19,0.579,1,2,0.5,3,7,0.429,3,13,16,13,2,0,5,3,26,11,1,2024,Regular Season
22024,203999,0022401165,2025-04-09,DEN @ SAC,W,38,5,12,0.417,0,1,0.0,10,10,1.0,3,9,12,11,4,0,1,2,20,9,1,2024,Regular Season
22024,203999,0022401142,2025-04-06,DEN vs. IND,L,39,18,33,0.545,3,11,0.273,2,3,0.667,3,12,15,13,2,1,4,0,41,1,1,2024,Regular Season
22024,203999,0022401125,2025-04-04,DEN @ GSW,L,37,13,17,0.765,4,7,0.571,3,3,1.0,2,10,12,9,2,0,6,2,33,-4,1,2024,Regular Season
22024,203999,0022401102,2025-04-01,DEN vs. MIN,L,53,18,29,0.621,6,11,0.545,19,24,0.792,2,8,10,10,2,0,4,5,61,2,1,2024,Regular Season
22024,203999,0022401073,2025-03-28,DEN vs. UTA,W,32,8,18,0.444,1,5,0.2,10,12,0.833,5,9,14,6,4,0,3,0,27,28,1,2024,Regular Season
22024,203999,0022401057,2025-03-26,DEN vs. MIL,W,38,16,25,0.64,3,6,0.5,4,7,0.571,2,8,10,10,0,0,3,2,39,14,1,2024,Regular Season
22024,203999,0022400975,2025-03-15,DEN vs. WAS,L,39,16,30,0.533,1,8,0.125,7,7,1.0,3,10,13,9,1,2,3,3,40,6,1,2024,Regular Season
22024,203999,0022400965,2025-03-14,DEN vs. LAL,W,38,8,16,0.5,0,4,0.0,12,17,0.706,1,6,7,5,3,1,4,5,28,2,1,2024,Regular Season
22024,203999,0022400952,2025-03-12,DEN vs. MIN,L,38,13,23,0.565,2,6,0.333,6,8,0.75,3,5,8,4,1,0,3,3,34,-24,1,2024,Regular Season
22024,203999,0022400936,2025-03-10,DEN @ OKC,W,40,15,20,0.75,1,2,0.5,4,5,0.8,2,16,18,8,1,1,1,4,35,8,1,2024,Regular Season
22024,203999,0022400920,2025-03-09,DEN @ OKC,L,41,10,23,0.435,2,10,0.2,2,6,0.333,2,11,13,9,1,3,2,3,24,-13,1,2024,Regular Season
