Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1610612750,0022101159,"APR 01, 2022",MIN @ DEN,W,44,34,0.564,240,43,86,0.5,19,40,0.475,31,36,0.861,10,28,38,26,14,4,11,23,136
1610612750,0022101173,"APR 03, 2022",MIN @ HOU,W,45,34,0.57,240,51,86,0.593,17,41,0.415,20,25,0.8,7,25,32,32,13,6,19,27,139
1610612750,0022101184,"APR 05, 2022",MIN vs. WAS,L,45,35,0.563,240,41,91,0.451,14,41,0.341,18,25,0.72,6,32,38,27,6,3,9,16,114
1610612750,0022101199,"APR 07, 2022",MIN vs. SAS,W,46,35,0.568,240,41,96,0.427,20,53,0.377,25,31,0.806,13,34,47,25,8,2,10,29,127
1610612750,0022101224,"APR 10, 2022",MIN vs. CHI,L,46,36,0.561,240,46,91,0.505,11,31,0.355,17,22,0.773,9,23,32,30,7,9,13,23,120
1610612750,0042100151,"APR 16, 2022",MIN @ MEM,W,1,0,1.0,240,45,90,0.5,16,41,0.39,24,27,0.889,11,35,46,32,5,7,18,32,130
1610612750,0042100152,"APR 19, 2022",MIN @ MEM,L,1,1,0.5,240,30,76,0.395,11,38,0.289,25,28,0.893,4,36,40,16,5,9,19,28,96
1610612750,0042100153,"APR 21, 2022",MIN vs. MEM,L,1,2,0.333,240,33,85,0.388,12,35,0.343,17,23,0.739,9,32,41,21,11,11,16,28,95
1610612750,0042100154,"APR 23, 2022",MIN vs. MEM,W,2,2,0.5,240,35,74,0.473,18,36,0.5,31,40,0.775,6,28,34,23,7,8,15,23,119
1610612750,0042100155,"APR 26, 2022",MIN @ MEM,L,2,3,0.4,240,37,83,0.446,14,33,0.424,21,24,0.875,6,36,42,23,9,7,22,29,109
1610612750,0042100156,"APR 29, 2022",MIN vs. MEM,L,2,4,0.333,240,38,84,0.452,12,31,0.387,18,26,0.692,6,31,37,22,12,5,11,21,106
1610612750,0022100321,"DEC 01, 2021",MIN @ WAS,L,11,11,0.5,240,37,88,0.42,11,37,0.297,22,26,0.846,12,27,39,15,3,6,12,23,107
1610612750,0022100336,"DEC 03, 2021",MIN @ BKN,L,11,12,0.478,240,36,93,0.387,13,42,0.31,20,24,0.833,16,28,44,22,5,4,15,25,105
1610612750,0022100359,"DEC 06, 2021",MIN vs. ATL,L,11,13,0.458,240,39,98,0.398,17,40,0.425,15,19,0.789,16,34,50,22,9,5,8,17,110
1610612750,0022100374,"DEC 08, 2021",MIN vs. UTA,L,11,14,0.44,240,38,95,0.4,17,47,0.362,11,17,0.647,9,28,37,19,9,3,15,17,104
1610612750,0022100387,"DEC 10, 2021",MIN vs. CLE,L,11,15,0.423,240,36,92,0.391,11,39,0.282,23,28,0.821,10,30,40,24,9,5,14,19,106
1610612750,0022100402,"DEC 12, 2021",MIN @ POR,W,12,15,0.444,240,38,85,0.447,14,36,0.389,26,32,0.813,10,32,42,23,9,2,17,22,116
1610612750,0022100424,"DEC 15, 2021",MIN @ DEN,W,13,15,0.464,240,45,88,0.511,23,48,0.479,11,16,0.688,6,33,39,24,10,5,11,23,124
1610612750,0022100436,"DEC 17, 2021",MIN vs. LAL,W,14,15,0.483,240,41,98,0.418,12,44,0.273,16,24,0.667,15,46,61,23,13,6,15,25,110
1610612750,0022100455,"DEC 19, 2021",MIN vs. DAL,W,15,15,0.5,240,36,77,0.468,15,34,0.441,24,31,0.774,6,31,37,26,6,3,9,22,111
1610612750,0022100468,"DEC 21, 2021",MIN @ DAL,L,15,16,0.484,240,36,79,0.456,13,40,0.325,17,20,0.85,9,30,39,26,4,5,17,22,102
