SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22024,203999,0022400975,2025-03-15,DEN vs. WAS,L,39,16,30,0.533,1,8,0.125,7,7,1.0,3,10,13,9,1,2,3,3,40,6,1
22024,203999,0022400952,2025-03-12,DEN vs. MIN,L,38,13,23,0.565,2,6,0.333,6,8,0.75,3,5,8,4,1,0,3,3,34,-24,1
22024,203999,0022400936,2025-03-10,DEN @ OKC,W,40,15,20,0.75,1,2,0.5,4,5,0.8,2,16,18,8,1,1,1,4,35,8,1
22024,203999,0022400896,2025-03-05,DEN vs. SAC,W,38,9,18,0.5,0,2,0.0,4,6,0.667,5,10,15,6,1,0,7,3,22,-7,1
22024,203999,0022400866,2025-03-02,DEN @ BOS,L,39,9,15,0.6,2,3,0.667,0,0,0.0,3,11,14,9,2,0,2,2,20,0,1
22024,203999,0022400850,2025-02-28,DEN @ DET,W,34,6,12,0.5,0,3,0.0,11,12,0.917,0,17,17,15,1,2,7,2,23,33,1
22024,203999,0022400780,2025-02-12,DEN vs. POR,W,36,11,20,0.55,0,3,0.0,4,4,1.0,3,12,15,10,2,0,4,4,26,6,1
22024,203999,0022400706,2025-02-03,DEN vs. NOP,W,36,9,13,0.692,1,3,0.333,8,10,0.8,1,13,14,10,1,2,1,2,27,11,1
22024,203999,0022400531,2025-01-10,DEN vs. BKN,W,38,14,21,0.667,1,1,1.0,6,8,0.75,5,7,12,15,4,0,1,1,35,33,1
22024,203999,0022400484,2025-01-04,DEN @ SAS,W,43,19,35,0.543,3,8,0.375,5,6,0.833,4,5,9,10,2,2,2,3,46,7,1
22024,203999,0022400475,2025-01-03,DEN vs. SAS,L,37,15,36,0.417,3,10,0.3,8,9,0.889,4,14,18,9,2,0,2,3,41,7,1
22024,203999,0022400461,2025-01-01,DEN vs. ATL,W,30,8,16,0.5,1,1,1.0,6,6,1.0,3,14,17,15,0,1,2,2,23,31,1
22024,203999,0022400445,2024-12-30,DEN @ UTA,W,38,14,33,0.424,3,9,0.333,5,6,0.833,7,15,22,11,4,0,2,0,36,20,1
22024,203999,0022400432,2024-12-28,DEN vs. DET,W,37,11,17,0.647,4,5,0.8,11,14,0.786,1,8,9,8,0,0,2,4,37,25,1
22024,203999,0022400424,2024-12-27,DEN vs. CLE,L,36,12,19,0.632,0,3,0.0,3,4,0.75,3,11,14,13,3,0,1,1,27,-15,1
22024,203999,0022400341,2024-12-07,DEN @ WAS,L,39,22,39,0.564,3,6,0.5,9,13,0.692,7,9,16,8,1,0,5,5,56,-1,1
22024,203999,0022400298,2024-11-27,DEN @ UTA,W,34,13,19,0.684,2,3,0.667,2,3,0.667,3,7,10,7,1,1,1,1,30,20,1
22024,203999,0022400283,2024-11-25,DEN vs. NYK,L,32,9,20,0.45,2,7,0.286,2,2,1.0,3,4,7,7,1,0,0,1,22,-20,1
22024,203999,0022400270,2024-11-23,DEN @ LAL,W,37,12,20,0.6,3,7,0.429,7,8,0.875,2,11,13,8,2,1,6,3,34,39,1
22024,203999,0022400033,2024-11-22,DEN vs. DAL,L,39,13,22,0.591,2,2,1.0,5,7,0.714,6,11,17,10,0,0,3,0,33,4,1
22024,203999,0022400208,2024-11-10,DEN vs. DAL,W,38,13,21,0.619,3,3,1.0,8,8,1.0,8,10,18,15,3,0,4,2,37,13,1
22024,203999,0022400194,2024-11-08,DEN vs. MIA,W,40,11,13,0.846,1,1,1.0,7,7,1.0,2,9,11,14,2,0,5,2,30,26,1
22024,203999,0022400177,2024-11-06,DEN vs. OKC,W,39,9,20,0.45,1,3,0.333,4,6,0.667,7,13,20,16,2,2,5,2,23,8,1
